leaf_width	leaf_length	trunk_girth	trunk_height	tree_type
4.53E+00	5.58E+00	9.38E+00	9.35E+00	0
3.79E+00	5.93E+00	8.36E+00	8.99E+00	0
4.26E+00	5.84E+00	9.39E+00	9.95E+00	0
9.05E+00	7.22E+00	3.80E+00	9.33E+00	1
4.22E+00	5.76E+00	9.20E+00	1.00E+01	0
9.61E+00	6.40E+00	4.47E+00	8.33E+00	1
5.94E+00	4.02E+00	8.40E+00	8.65E+00	0
7.70E+00	4.67E+00	3.81E+00	1.02E+01	1
5.00E+00	5.62E+00	7.93E+00	8.02E+00	0
5.46E+00	4.58E+00	1.08E+01	1.02E+01	0
5.55E+00	8.15E+00	3.50E+00	5.31E+00	0
2.83E+00	5.99E+00	8.54E+00	9.73E+00	0
4.18E+00	5.00E+00	8.57E+00	9.30E+00	0
5.92E+00	4.94E+00	7.95E+00	8.02E+00	0
1.02E+01	5.59E+00	5.44E+00	7.76E+00	1
5.08E+00	5.57E+00	7.69E+00	8.07E+00	0
5.19E+00	4.69E+00	9.93E+00	9.36E+00	0
8.47E+00	3.43E+00	4.63E+00	9.08E+00	1
7.81E+00	3.76E+00	3.88E+00	9.86E+00	1
8.01E+00	4.20E+00	3.12E+00	9.29E+00	1
9.27E+00	4.56E+00	5.31E+00	8.65E+00	1
9.69E+00	3.71E+00	6.06E+00	8.01E+00	1
5.85E+00	4.81E+00	8.57E+00	7.75E+00	0
5.46E+00	5.08E+00	8.39E+00	8.13E+00	0
3.57E+00	5.34E+00	1.04E+01	1.03E+01	0
6.85E+00	1.11E+00	4.48E+00	1.06E+01	1
1.01E+01	3.93E+00	7.03E+00	7.87E+00	1
8.21E+00	4.32E+00	5.20E+00	1.01E+01	1
9.67E+00	5.02E+00	7.91E+00	9.23E+00	1
1.08E+01	5.49E+00	7.08E+00	7.28E+00	1
1.01E+01	5.75E+00	6.46E+00	8.39E+00	1
8.80E+00	3.99E+00	4.87E+00	8.84E+00	0
9.31E+00	5.24E+00	6.48E+00	9.25E+00	1
5.65E+00	4.48E+00	9.20E+00	8.85E+00	0
8.75E+00	4.16E+00	4.94E+00	9.11E+00	1
1.04E+01	4.94E+00	6.81E+00	7.56E+00	1
8.67E+00	2.93E+00	6.75E+00	9.51E+00	1
8.44E+00	4.18E+00	4.45E+00	9.18E+00	1
9.27E+00	5.37E+00	6.06E+00	9.23E+00	1
1.04E+01	5.92E+00	6.91E+00	8.19E+00	1
4.66E+00	4.64E+00	1.03E+01	9.59E+00	0
1.07E+01	5.35E+00	7.17E+00	7.69E+00	1
7.84E+00	4.19E+00	4.32E+00	1.00E+01	1
9.02E+00	3.42E+00	6.66E+00	9.06E+00	1
9.15E+00	2.81E+00	6.53E+00	8.70E+00	1
9.13E+00	3.60E+00	5.20E+00	8.35E+00	1
5.47E+00	4.77E+00	9.05E+00	8.35E+00	0
6.95E+00	3.95E+00	1.91E+00	1.03E+01	1
4.93E+00	4.60E+00	9.49E+00	9.21E+00	0
9.51E+00	4.21E+00	5.65E+00	8.20E+00	1
6.60E+00	4.28E+00	8.30E+00	7.75E+00	0
4.93E+00	5.33E+00	9.11E+00	8.55E+00	0
7.09E+00	4.09E+00	8.47E+00	6.88E+00	0
9.85E+00	6.31E+00	5.49E+00	8.42E+00	1
8.54E+00	5.68E+00	4.73E+00	9.75E+00	1
7.36E+00	7.37E+00	1.78E+00	1.10E+01	1
4.17E+00	6.11E+00	8.44E+00	9.02E+00	0
8.68E+00	3.93E+00	6.34E+00	9.75E+00	1
7.85E+00	4.84E+00	4.77E+00	1.07E+01	1
5.26E+00	5.68E+00	8.93E+00	8.84E+00	1
9.50E+00	7.24E+00	4.32E+00	8.80E+00	1
6.18E+00	3.63E+00	8.39E+00	8.83E+00	0
9.74E+00	5.23E+00	7.00E+00	9.07E+00	1
5.00E+00	5.10E+00	8.64E+00	9.12E+00	0
9.68E+00	6.63E+00	5.12E+00	8.85E+00	1
4.60E+00	4.18E+00	9.99E+00	9.71E+00	0
5.21E+00	5.61E+00	8.09E+00	8.01E+00	0
2.84E+00	5.86E+00	9.53E+00	1.07E+01	0
9.65E+00	6.07E+00	6.31E+00	9.11E+00	1
2.65E+00	6.69E+00	9.18E+00	1.07E+01	0
8.94E+00	4.19E+00	4.17E+00	8.34E+00	1
4.10E+00	4.38E+00	1.05E+01	1.10E+01	0
9.15E+00	4.52E+00	4.77E+00	8.58E+00	1
4.67E+00	4.25E+00	1.02E+01	9.46E+00	0
8.65E+00	5.83E+00	4.63E+00	9.64E+00	1
8.39E+00	2.96E+00	4.14E+00	8.56E+00	1
4.99E+00	4.47E+00	9.17E+00	9.66E+00	0
9.58E+00	4.53E+00	5.68E+00	8.29E+00	1
6.45E+00	3.04E+00	9.37E+00	8.89E+00	0
